day,temp,description
This Afternoon,50,"Sunny, with a high near 50. West wind around 13 mph."
Tonight,29,"Mostly clear, with a low around 29. Southwest wind around 10 mph."
Tuesday,53,"Mostly sunny, with a high near 53. Southwest wind 8 to 12 mph."
Tuesday Night,32,"Mostly cloudy, with a low around 32. Southeast wind 2 to 8 mph."
Wednesday,54,"A slight chance of rain showers after 2pm. Mostly cloudy, with a high near 54. South wind 3 to 12 mph. Chance of precipitation is 20%."
Wednesday Night,43,"A chance of rain showers. Mostly cloudy, with a low around 43. Chance of precipitation is 40%."
Thursday,57,"Rain showers likely. Cloudy, with a high near 57. Chance of precipitation is 70%."
Thursday Night,37,"Rain showers likely. Cloudy, with a low around 37. Chance of precipitation is 70%."
Friday,46,"A chance of rain showers. Cloudy, with a high near 46. Chance of precipitation is 50%."
Friday Night,33,"A chance of rain before midnight, then a chance of rain and snow. Mostly cloudy, with a low around 33. Chance of precipitation is 50%."
Saturday,43,"Rain and snow likely. Mostly cloudy, with a high near 43. Chance of precipitation is 60%."
Saturday Night,33,"Rain likely before 3am, then a chance of rain and snow. Mostly cloudy, with a low around 33. Chance of precipitation is 60%."
Sunday,46,"A chance of rain and snow showers. Partly sunny, with a high near 46. Chance of precipitation is 30%."
Sunday Night,33,"A slight chance of rain showers before 1am, then a chance of rain and snow showers. Mostly cloudy, with a low around 33. Chance of precipitation is 30%."
